universidad,estado_fuente,url_altillo,url_oficial,pagina_fuente
Instituto Internacional del derecho y del Estado (IIDE),Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Internacional_del_derecho_y_del_Estado_Jalisco.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Instituto Internacional del derecho y del Estado (IIDE),Nayarit,https://www.altillo.com/universidades/mexico/de/nayarit/Instituto_Internacional_del_derecho_y_del_Estado_IIDE_Tepic.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/nayarit.asp
Instituto Internacional del Derecho y del Estado (IIDE),Oaxaca,https://www.altillo.com/universidades/mexico/de/oaxaca/Instituto_Internacional_del_derecho_Y_del_Estado_IIDE.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/oaxaca.asp
Instituto Internacional del derecho y del Estado (IIDE),Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Internacional_del_derecho_y_del_Estado_IIDE_Cholula.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/puebla.asp
Instituto Internacional del derecho y del Estado (IIDE),Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Internacional_del_derecho_y_del_Estado_IIDE_Zavaleta.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/puebla.asp
"Instituto Internacional del derecho y del Estado, Campus Guadalajara Aepca",Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Internacional_del_derecho_y_del_Estado_Campus_Guadalajara_Aepca.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/jalisco.asp
"Instituto Internacional del derecho y del Estado, Campus Guadalajara Barra",Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Internacional_del_derecho_y_del_Estado_Campus_Guadalajara_Barra.asp,http://www.iide.edu.mx,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Instituto Internacional Universitario,Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Instituto_Internacional_Universitario.asp,,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Instituto Internacional Universitario (IUI),Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Internacional_Universitario_Campus_Toluca.asp,http://www.iuitoluca.com,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Irapuato,Guanajuato,https://www.altillo.com/universidades/mexico/de/guanajuato/Instituto_Irapuato.asp,https://www.uii.edu.mx/,https://www.altillo.com/universidades/mexico/de/guanajuato.asp
Instituto Isaac Newton,Campeche,https://www.altillo.com/universidades/mexico/de/campeche/Instituto_Isaac_Newton.asp,http://isaacnewton.mx/,https://www.altillo.com/universidades/mexico/de/campeche.asp
Instituto Jaime Torres Bodet,Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Jaime_Torres_Bodet.asp,http://www.jaimetorresbodet.edu.mx,https://www.altillo.com/universidades/mexico/de/puebla.asp
Instituto Jalisciense de Estudios Sistémicos,Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Jalisciense_de_Estudios_Sistemicos.asp,,https://www.altillo.com/universidades/mexico/de/jalisco.asp
